phi theta x y z pt prodx prody prodz t pid
-2.00530 1.25487 -27.22680 -13.09362 -64.55105 0.00571 -20.32458 -10.80102 -74.93000 0.42736 11
0.07519 1.26383 -22.23737 -20.42238 -61.16974 0.00571 -20.32458 -10.80102 -74.93000 0.46480 11
-2.12205 1.14447 -27.28624 -12.95013 -54.51798 0.00571 -20.32458 -10.80102 -74.93000 0.53808 11
0.13135 1.05603 -22.46285 -20.19691 -49.21262 0.00571 -20.32458 -10.80102 -74.93000 0.57891 11
-2.11645 1.13411 -27.04978 -13.52100 -38.98383 0.00571 -20.32458 -10.80102 -74.93000 0.65090 11
0.15067 1.15708 -22.39778 -20.26197 -34.03037 0.00571 -20.32458 -10.80102 -74.93000 0.68897 11
-1.92958 1.30291 -26.90726 -13.86507 -26.12116 0.00571 -20.32458 -10.80102 -74.93000 0.75997 11
0.01768 1.31773 -22.32644 -20.33331 -23.63196 0.00571 -20.32458 -10.80102 -74.93000 0.79246 11
-1.57015 1.61235 -26.23247 -15.49417 -20.63488 0.00571 -20.32458 -10.80102 -74.93000 0.87130 11
-0.83046 1.58348 -25.05357 -18.34027 -20.77771 0.00571 -20.32458 -10.80102 -74.93000 0.88190 11
-0.29411 1.56530 -23.23016 -19.42959 -20.75552 0.00571 -20.32458 -10.80102 -74.93000 0.88904 11
-1.55047 1.74667 -26.43927 -14.99489 -23.48696 0.00571 -20.32458 -10.80102 -74.93000 0.96355 11
-0.76594 1.82574 -25.06803 -18.30535 -24.29617 0.00571 -20.32458 -10.80102 -74.93000 0.97617 11
-0.29747 1.76017 -23.57408 -19.08567 -24.63742 0.00571 -20.32458 -10.80102 -74.93000 0.98192 11
-1.51036 1.73821 -25.93845 -16.20398 -30.14525 0.00571 -20.32458 -10.80102 -74.93000 1.04806 11
-0.78960 1.76347 -24.91676 -18.67055 -30.55137 0.00571 -20.32458 -10.80102 -74.93000 1.05728 11
0.19342 2.21267 -23.56431 -19.09544 -31.50783 0.00571 -20.32458 -10.80102 -74.93000 1.06329 11
-2.01945 2.17824 -25.99077 -16.07768 -38.20462 0.00571 -20.32458 -10.80102 -74.93000 1.09917 11
-0.25278 2.14775 -24.87306 -18.77606 -40.55427 0.00571 -20.32458 -10.80102 -74.93000 1.11294 11
0.15848 1.99403 -23.81350 -18.84625 -41.03232 0.00571 -20.32458 -10.80102 -74.93000 1.11691 11
-2.02027 2.06937 -25.98993 -16.07971 -45.72957 0.00571 -20.32458 -10.80102 -74.93000 1.14532 11
-0.20190 2.03981 -24.83258 -18.87380 -47.73965 0.00571 -20.32458 -10.80102 -74.93000 1.15908 11
0.66745 1.73346 -24.08985 -18.56990 -47.88969 0.00571 -20.32458 -10.80102 -74.93000 1.16197 11
-2.50253 1.43055 -26.37595 -15.14777 -48.87769 0.00571 -20.32458 -10.80102 -74.93000 1.18375 11
0.19719 1.35259 -24.87152 -18.77978 -47.84978 0.00571 -20.32458 -10.80102 -74.93000 1.20323 11
0.73155 1.55919 -24.25325 -18.40650 -47.75032 0.00571 -20.32458 -10.80102 -74.93000 1.20578 11
-2.63286 1.83585 -26.33069 -15.25702 -49.10546 0.00571 -20.32458 -10.80102 -74.93000 1.22635 11
0.37057 1.75236 -24.93871 -18.61758 -50.35335 0.00571 -20.32458 -10.80102 -74.93000 1.24518 11
3.08400 1.54669 -26.16093 -15.66687 -49.83877 0.00571 -20.32458 -10.80102 -74.93000 1.26023 11
0.92188 0.84589 -24.06871 -18.59104 -29.95770 0.00571 -20.32458 -10.80102 -74.93000 1.06161 11
2.68097 2.52758 -24.27713 -18.34726 -29.87408 0.00571 -20.32458 -10.80102 -74.93000 1.06333 11
2.81022 2.90109 -24.28192 -18.35183 -29.98136 0.00571 -20.32458 -10.80102 -74.93000 1.06443 11
-2.03084 1.38269 -1.83457 30.16500 -62.43668 0.00571 4.90957 22.48659 -74.93000 0.46843 11
1.86392 1.56709 8.04035 29.31994 -60.97562 0.00571 4.90957 22.48659 -74.93000 0.53604 11
-2.05838 1.54411 -1.78274 30.16500 -61.06441 0.00571 4.90957 22.48659 -74.93000 0.57852 11
2.13666 1.81464 7.21410 29.66218 -61.28026 0.00571 4.90957 22.48659 -74.93000 0.65084 11
-2.23438 1.92185 -0.66229 30.16500 -64.62608 0.00571 4.90957 22.48659 -74.93000 0.68392 11
1.37698 0.60410 5.12728 30.52657 -63.83769 0.00571 4.90957 22.48659 -74.93000 1.03124 11
0.73587 0.86292 4.60165 30.74430 -48.61777 0.00571 4.90957 22.48659 -74.93000 1.09498 11
0.20019 1.42973 4.79280 30.66512 -21.81434 0.00571 4.90957 22.48659 -74.93000 1.24930 11
0.38287 2.55833 3.74131 31.12489 -26.77705 0.00571 4.90957 22.48659 -74.93000 1.31011 11
-1.39761 1.47152 2.19845 30.16693 -40.53319 0.00571 4.90957 22.48659 -74.93000 1.39093 11
2.12917 1.45535 3.18999 30.16500 -38.50850 0.00571 4.90957 22.48659 -74.93000 1.40149 11
-2.35598 1.14669 2.35146 30.16500 -38.35491 0.00571 4.90957 22.48659 -74.93000 1.40525 11
-2.97627 1.91825 3.10884 30.14037 -37.48373 0.00571 4.90957 22.48659 -74.93000 1.41411 11
0.88267 1.31042 30.16500 4.08291 -64.37571 0.00571 22.67661 3.93980 -74.93000 0.42818 11
